timestamp,market,direction,action,price,edge,stake,probability,profit_usdc,modus,target_price
2026-03-18 10:52:18,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.16,0,1,0,0.2308,LIVE,0
2026-03-18 10:52:19,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.16,0.1764,1,0.3364,0,LIVE,0.1728
2026-03-18 10:52:21,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.15,0,1,0,-0.0625,LIVE,0
2026-03-18 10:52:22,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.15,0.1845,1,0.3345,0,LIVE,0.162
2026-03-18 10:52:29,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.11,0,1,0,-0.2667,LIVE,0
2026-03-18 10:52:34,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.08,0.2242,1,0.3042,0,LIVE,0.0864
2026-03-18 10:52:37,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_LIMIT,0.07,0,1,0,-0.125,LIVE,0
2026-03-18 10:52:38,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.07,0.2217,1,0.2917,0,LIVE,0.0756
2026-03-18 10:52:41,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_LIMIT,0.07,0,1,0,0.0,LIVE,0
2026-03-18 10:52:43,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.06,0.1685,1,0.2285,0,LIVE,0.0648
2026-03-18 10:52:46,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_LIMIT,0.05,0,1,0,-0.1667,LIVE,0
2026-03-18 11:02:35,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,BUY,0.34,0.1221,1,0.4621,0,LIVE,0.374
2026-03-18 11:02:48,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,SELL_SL,0.27,0,1,0,-0.2059,LIVE,0
2026-03-18 11:02:48,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,BUY,0.27,0.149,1,0.419,0,LIVE,0.297
2026-03-18 11:02:53,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,SELL_TP,0.37,0,1,0,0.3704,LIVE,0
2026-03-18 11:03:50,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,BUY,0.35,0.1276,1,0.4776,0,LIVE,0.385
2026-03-18 11:03:52,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,SELL_SL,0.29,0,1,0,-0.1714,LIVE,0
2026-03-18 11:03:53,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,BUY,0.29,0.1872,1,0.4772,0,LIVE,0.319
2026-03-18 11:04:02,"Bitcoin Up or Down - March 18, 6:00AM-6:05AM ET",UP,SELL_SL,0.2,0,1,0,-0.3103,LIVE,0
2026-03-18 11:18:03,"Bitcoin Up or Down - March 18, 6:15AM-6:20AM ET",UP,BUY,0.21,0.1697,1,0.3797,0,LIVE,0.252
2026-03-18 11:18:10,"Bitcoin Up or Down - March 18, 6:15AM-6:20AM ET",UP,SELL_SL,0.15,0,1,0,-0.2857,LIVE,0
2026-03-18 11:18:11,"Bitcoin Up or Down - March 18, 6:15AM-6:20AM ET",UP,BUY,0.15,0.1833,1,0.3333,0,LIVE,0.18
2026-03-18 11:18:14,"Bitcoin Up or Down - March 18, 6:15AM-6:20AM ET",UP,SELL_LIMIT,0.09,0,1,0,-0.4,LIVE,0
